type,name,ability
Minion,Evil Twin,"You & an opposing player know each other. If the good player is executed, evil wins. Good can't win if you both live."
Minion,Fearmonger,"Each night, choose a player: if you nominate & execute them, their team loses. All players know if you choose a new player."
Minion,Goblin,"If you publicly claim to be the Goblin when nominated & are executed that day, your team wins."
Minion,Godfather,"You start knowing which Outsiders are in play. If 1 died today, choose a player tonight: they die. [-1 or +1 Outsider]"
Minion,Harpy,"Each night, choose 2 players: tomorrow, the 1st player is mad that the 2nd is evil, or one or both might die."
Minion,Marionette,"You think you are a good character, but you are not. The Demon knows who you are. [You neighbor the Demon]"
Minion,Mastermind,"If the Demon dies by execution (ending the game), play for 1 more day. If a player is then executed, their team loses."
Minion,Mezepheles,"You start knowing a secret word. The 1st good player to say this word becomes evil that night."
Minion,Organ Grinder,"All players keep their eyes closed when voting and the vote tally is secret. Each night, choose if you are drunk until dusk."
Minion,Poisoner,"Each night, choose a player: they are poisoned tonight and tomorrow day."
Minion,Psychopath,"Each day, before nominations, you may publicly choose a player: they die. If executed, you only die if you lose roshambo."
Minion,Scarlet Woman,"If there are 5 or more players alive & the Demon dies, you become the Demon. (Travellers don't count.)"
Minion,Spy,"Each night, you see the Grimoire. You might register as good & as a Townsfolk or Outsider, even if dead."
Minion,Summoner,"You get 3 bluffs. On the 3rd night, choose a player: they become an evil Demon of your choice. [No Demon]"
Minion,Vizier,"All players know you are the Vizier. You cannot die during the day. If good voted, you may choose to execute immediately."
Minion,Widow,"On your 1st night, look at the Grimoire & choose a player: they are poisoned. 1 good player knows a Widow is in play."
Minion,Witch,"Each night, choose a player: if they nominate tomorrow, they die. If just 3 players live, you lose this ability."
Minion,Wizard,"Once per game, choose to make a wish. If granted, it might have a price & leave a clue as to its nature."
Minion,Xaan,"On night X, all Townsfolk are poisoned until dusk. [X Outsiders]"
Demon,Al-Hadikhia,"Each night*, you may choose 3 players (all players learn who): each silently chooses to live or die, but if all live, all die."
Demon,Fang Gu,"Each night*, choose a player: they die. The 1st Outsider this kills becomes an evil Fang Gu & you die instead. [+1 Outsider]"
Demon,Imp,"Each night*, choose a player: they die. If you kill yourself this way, a Minion becomes the Imp."
Demon,Kazali,"Each night*, choose a player: they die. [You choose which players are which Minions. -? to +? Outsiders]"
Demon,Legion,"Each night*, a player might die. Executions fail if only evil voted. You register as a Minion too. [Most players are Legion]"
Demon,Leviathan,"If more than 1 good player is executed, evil wins. All players know you are in play. After day 5, evil wins."
Demon,Lil' Monsta,"Each night, Minions choose who babysits Lil' Monsta & 'is the Demon'. Each night*, a player might die. [+1 Minion]"
Demon,Lleech,"Each night*, choose a player: they die. You start by choosing a player: they are poisoned. You die if & only if they are dead."
Demon,Lord of Typhon,"Each night*, choose a player: they die. [Evil characters are in a line. You are in the middle. +1 Minion. -? to +? Outsiders]"
Demon,No Dashii,"Each night*, choose a player: they die. Your 2 Townsfolk neighbors are poisoned."
Demon,Ojo,"Each night*, choose a character: they die. If they are not in play, the Storyteller chooses who dies."
Demon,Po,"Each night*, you may choose a player: they die. If your last choice was no-one, choose 3 players tonight."
Demon,Pukka,"Each night, choose a player: they are poisoned. The previously poisoned player dies then becomes healthy."
Demon,Riot,"On day 3, Minions become Riot & nominees die but nominate an alive player immediately. This must happen."
Demon,Shabaloth,"Each night*, choose 2 players: they die. A dead player you chose last night might be regurgitated."
Demon,Vigormortis,"Each night*, choose a player: they die. Minions you kill keep their ability & poison 1 Townsfolk neighbor. [-1 Outsider]"
Demon,Vortox,"Each night*, choose a player: they die. Townsfolk abilities yield false info. Each day, if no-one is executed, evil wins."
Demon,Yaggababble,"You start knowing a secret phrase. For each time you said it publicly today, a player might die."
Demon,Zombuul,"Each night*, if no-one died today, choose a player: they die. The 1st time you die, you live but register as dead."
Traveller,Bureaucrat,"Each night, choose a player (not yourself): their vote counts as 3 votes tomorrow."
Traveller,Thief,"Each night, choose a player (not yourself): their vote counts negatively tomorrow."
Fabled,Sentinel,"There might be 1 extra or 1 fewer Outsider in play."
